pupil_id,first_name,last_name,gender,date_of_birth,school_urn,metadata_json
P001,Alice,Johnson,F,2012-03-15,100001,"{""contact"": {""parent_name"": ""Sarah Johnson"", ""phone"": ""07700900001"", ""email"": ""s.johnson@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P002,Bob,Smith,M,2011-07-22,100001,"{""contact"": {""parent_name"": ""David Smith"", ""phone"": ""07700900002"", ""email"": ""d.smith@email.com""}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true}"
P003,Carol,Williams,F,2012-11-01,100002,"{""contact"": {""parent_name"": ""Jane Williams"", ""phone"": ""07700900003"", ""email"": ""j.williams@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P004,Dan,Brown,M,2010-09-30,100005,"{""contact"": {""parent_name"": ""Mike Brown"", ""phone"": ""07700900004""}, ""sen_status"": ""EHCP"", ""fsm_eligible"": true}"
P005,Eve,Taylor,F,2013-01-18,100004,"{""contact"": {""parent_name"": ""Lisa Taylor"", ""phone"": ""07700900005"", ""email"": ""l.taylor@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P006,Frank,Davies,M,2011-05-25,100005,"{""contact"": {""parent_name"": ""Helen Davies"", ""phone"": ""07700900006""}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": false}"
P007,Grace,Evans,F,2012-08-12,100006,"{""contact"": {""parent_name"": ""Tom Evans"", ""phone"": ""07700900007"", ""email"": ""t.evans@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": true}"
P008,Harry,Wilson,M,2010-12-03,100007,"{""contact"": {""parent_name"": ""Claire Wilson""}, ""sen_status"": ""EHCP"", ""fsm_eligible"": true}"
P009,Isla,Thomas,F,2013-04-07,100008,"{""contact"": {""parent_name"": ""Paul Thomas"", ""phone"": ""07700900009"", ""email"": ""p.thomas@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P010,Jack,Roberts,M,2011-10-19,100009,"{""contact"": {""parent_name"": ""Karen Roberts"", ""phone"": ""07700900010""}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true}"
P011,katie,JONES,F,2012-06-28,100010,"{""contact"": {""parent_name"": ""Emma Jones"", ""phone"": ""07700900011""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P012,LIAM,garcia,M,2011-02-15,100012,"{""contact"": {""parent_name"": ""Maria Garcia""}, ""sen_status"": ""none"", ""fsm_eligible"": false}"
P013,Mia,Anderson,F,2013-03-22,100013,"{""contact"": {""parent_name"": ""Chris Anderson"", ""phone"": ""07700900013"", ""email"": ""c.anderson@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": true}"
P014,Noah,Martinez,M,2010-11-14,100014,"{""contact"": {""parent_name"": ""Ana Martinez"", ""phone"": ""07700900014""}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": false}"
P015,Olivia,Lee,F,2012-02-09,100015,"{""contact"": {""parent_name"": ""James Lee"", ""phone"": ""07700900015"", ""email"": ""j.lee@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P016,Peter,Clark,M,2011-08-17,100016,"{""contact"": {""parent_name"": ""Susan Clark"", ""phone"": ""07700900016""}, ""sen_status"": ""None"", ""fsm_eligible"": true}"
P017,Quinn,Lewis,F,2013-07-03,100017,"{""contact"": {""parent_name"": ""Robert Lewis"", ""phone"": ""07700900017"", ""email"": ""r.lewis@email.com""}, ""sen_status"": ""EHCP"", ""fsm_eligible"": true}"
P018,Ryan,Walker,M,2010-04-26,100018,"{""contact"": {""parent_name"": ""Michelle Walker""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P019,Sophie,Hall,F,2012-09-11,999999,"{""contact"": {""parent_name"": ""Mark Hall"", ""phone"": ""07700900019""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P020,Tom,Wright,M,2011-03-08,100001,"{""contact"": {""parent_name"": ""Linda Wright""}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true}"
P021,Uma,Young,F,2013-12-25,100002,"{""contact"": {""parent_name"": ""Raj Young"", ""phone"": ""07700900021""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P022,Victor,King,M,2011-06-14,100005,"{""contact"": {""parent_name"": ""Janet King"", ""phone"": ""07700900022""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P023,Wendy,Scott,F,2012-10-05,100019,"{""contact"": {""parent_name"": ""Brian Scott"", ""phone"": ""07700900023"", ""email"": ""b.scott@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P025,Yara,Patel,F,2013-05-11,100020,"{""contact"": {""parent_name"": ""Priya Patel"", ""phone"": ""07700900025"", ""email"": ""p.patel@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
P026,Zach,OBrien,M,2011-09-28,100021,"{""contact"": {""parent_name"": ""Siobhan OBrien"", ""phone"": ""07700900026""}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true}"
P001,Alice,Johnson,F,2012-03-15,100001,"{""contact"": {""parent_name"": ""Sarah Johnson"", ""phone"": ""07700900001"", ""email"": ""s.johnson@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false}"
